,Date,Avg temperature (F),Precip Inches,Cloud Cover,Wind Speed(Miles)
0,2016-01-01,11,0.0,2.0,3.375
1,2016-01-02,20,0.0,10.875,4.5
2,2016-01-03,24,0.0,10.75,3.5
3,2016-01-04,22,0.0,56.25,5.75
4,2016-01-05,28,0.0,19.75,3.25
5,2016-01-06,28,0.0,25.625,3.5
6,2016-01-07,26,0.0,50.75,2.25
7,2016-01-08,21,0.0,94.75,3.875
8,2016-01-09,14,0.0,25.75,2.75
9,2016-01-10,15,0.0,4.5,4.0
10,2016-01-11,18,0.0,11.125,5.75
11,2016-01-12,25,0.0,20.625,5.25
12,2016-01-13,30,0.0,5.75,6.125
13,2016-01-14,28,0.0,6.375,8.875
14,2016-01-15,22,0.0,25.0,4.875
15,2016-01-16,20,0.0,40.75,2.875
16,2016-01-17,22,0.0,23.125,2.625
17,2016-01-18,28,0.0,16.5,4.375
18,2016-01-19,29,0.0,50.25,3.625
19,2016-01-20,31,0.0,33.875,6.0
20,2016-01-21,25,0.0,9.5,4.375
21,2016-01-22,31,0.0,3.75,4.875
22,2016-01-23,34,0.0,18.125,5.0
23,2016-01-24,31,0.0,18.625,5.0
24,2016-01-25,25,0.0,48.5,4.375
25,2016-01-26,22,0.0,9.375,4.375
26,2016-01-27,30,0.0,3.875,5.0
27,2016-01-28,34,0.0,1.625,5.125
28,2016-01-29,37,0.0,6.875,6.875
29,2016-01-30,40,0.0,29.75,6.5
30,2016-01-31,27,0.0,63.875,5.0
31,2016-02-01,21,0.0,87.0,4.0
32,2016-02-02,15,0.0,96.125,8.125
33,2016-02-03,7,0.0,35.25,5.75
34,2016-02-04,16,0.0,28.625,5.0
35,2016-02-05,20,0.0,31.5,4.25
36,2016-02-06,27,0.0,24.875,7.0
37,2016-02-07,25,0.0,11.75,5.0
38,2016-02-08,26,0.0,5.75,3.5
39,2016-02-09,31,0.0,0.625,4.875
40,2016-02-10,38,0.0,15.625,9.0
41,2016-02-11,37,0.0,6.125,5.75
42,2016-02-12,37,0.0,10.625,4.25
43,2016-02-13,40,0.0,17.75,6.125
44,2016-02-14,37,0.0,7.125,5.625
45,2016-02-15,39,0.0,6.25,8.625
46,2016-02-16,39,0.0,8.5,5.0
47,2016-02-17,43,0.0,19.625,4.25
48,2016-02-18,49,0.0,9.125,10.875
49,2016-02-19,43,0.0,1.875,6.25
50,2016-02-20,43,0.0,5.5,5.75
51,2016-02-21,34,0.0,10.125,6.625
52,2016-02-22,33,0.0,50.0,4.25
53,2016-02-23,27,0.0,38.875,6.25
54,2016-02-24,28,0.0,2.625,6.375
55,2016-02-25,28,0.0,7.625,3.5
56,2016-02-26,38,0.0,3.0,5.125
57,2016-02-27,46,0.0,14.625,7.375
58,2016-02-28,43,0.0,2.125,6.5
59,2016-02-29,44,0.0,13.625,7.25
60,2016-03-01,38,0.0,8.75,3.875
61,2016-03-02,44,0.0,7.375,11.5
62,2016-03-03,44,0.0,43.875,3.25
63,2016-03-04,45,0.0,54.5,7.125
64,2016-03-05,47,0.0,27.375,6.5
65,2016-03-06,49,0.0,20.875,5.375
66,2016-03-07,42,0.0,12.25,6.625
67,2016-03-08,35,0.0,20.25,3.5
68,2016-03-09,39,0.0,22.625,4.25
69,2016-03-10,43,0.0,1.875,4.375
70,2016-03-11,51,0.0,12.0,5.625
71,2016-03-12,50,0.0,51.75,7.5
72,2016-03-13,49,0.0,16.875,5.5
73,2016-03-14,47,0.0,20.625,9.375
74,2016-03-15,35,0.0,43.0,8.625
75,2016-03-16,33,0.0,34.125,7.375
76,2016-03-17,31,0.0,63.625,5.0
77,2016-03-18,21,0.0,72.125,5.625
78,2016-03-19,19,0.0,45.125,3.75
79,2016-03-20,30,0.0,1.0,5.125
80,2016-03-21,48,0.0,28.375,6.625
81,2016-03-22,50,0.0,5.375,9.875
82,2016-03-23,29,0.1,64.875,12.25
83,2016-03-24,28,0.0,20.625,4.75
84,2016-03-25,31,0.0,45.75,4.625
85,2016-03-26,23,0.0,70.625,4.375
86,2016-03-27,28,0.0,2.875,5.25
87,2016-03-28,40,0.0,8.0,6.625
88,2016-03-29,42,0.0,15.875,5.125
89,2016-03-30,32,0.0,32.125,6.375
90,2016-03-31,29,0.0,63.75,5.125
91,2016-04-01,31,0.0,8.125,4.5
92,2016-04-02,41,0.0,5.625,5.875
93,2016-04-03,47,0.0,1.0,5.375
94,2016-04-04,52,0.0,12.75,3.875
95,2016-04-05,48,0.0,7.25,11.625
96,2016-04-06,47,0.0,1.875,9.25
97,2016-04-07,49,0.0,3.875,5.0
98,2016-04-08,47,0.0,13.375,3.125
99,2016-04-09,52,0.0,32.125,5.625
100,2016-04-10,50,0.0,26.25,5.875
101,2016-04-11,44,0.0,29.875,3.75
102,2016-04-12,50,0.0,9.0,3.875
103,2016-04-13,44,0.0,50.25,8.375
104,2016-04-14,43,0.0,49.75,7.0
105,2016-04-15,43,0.0,57.375,8.125
106,2016-04-16,41,0.0,71.5,6.375
107,2016-04-17,41,0.0,55.625,7.75
108,2016-04-18,43,0.0,53.125,6.125
109,2016-04-19,46,0.0,58.375,6.5
110,2016-04-20,45,0.0,56.375,6.125
111,2016-04-21,45,0.0,7.375,3.75
112,2016-04-22,54,0.0,6.5,5.5
113,2016-04-23,58,0.0,36.0,11.5
114,2016-04-24,49,0.0,4.125,7.75
115,2016-04-25,52,0.0,22.0,6.875
116,2016-04-26,41,0.0,24.375,5.0
117,2016-04-27,39,0.0,20.875,3.75
118,2016-04-28,35,0.0,58.875,5.375
119,2016-04-29,32,0.0,93.5,3.25
120,2016-04-30,30,0.0,92.125,6.625
121,2016-05-01,31,0.0,67.875,4.75
122,2016-05-02,36,0.0,8.25,2.125
123,2016-05-03,46,0.0,4.125,7.5
124,2016-05-04,54,0.0,0.625,5.125
125,2016-05-05,60,0.0,7.375,5.875
126,2016-05-06,61,0.0,12.0,6.0
127,2016-05-07,47,0.0,38.125,6.75
128,2016-05-08,45,0.0,22.0,3.125
129,2016-05-09,50,0.0,21.25,6.625
130,2016-05-10,51,0.0,15.625,4.875
131,2016-05-11,46,0.0,14.375,4.25
132,2016-05-12,51,0.0,2.75,4.25
133,2016-05-13,54,0.0,10.125,7.5
134,2016-05-14,48,0.0,40.625,5.625
135,2016-05-15,46,0.0,38.25,3.5
136,2016-05-16,42,0.0,84.75,4.875
137,2016-05-17,40,0.0,77.25,3.625
138,2016-05-18,44,0.0,25.625,5.75
139,2016-05-19,50,0.0,56.5,5.75
140,2016-05-20,51,0.0,53.25,4.875
141,2016-05-21,55,0.0,63.25,6.375
142,2016-05-22,59,0.0,7.125,6.25
143,2016-05-23,53,0.0,21.25,5.5
144,2016-05-24,54,0.0,16.5,4.625
145,2016-05-25,55,0.0,9.0,4.125
146,2016-05-26,45,0.0,26.625,5.625
147,2016-05-27,49,0.0,41.625,6.375
148,2016-05-28,59,0.1,18.25,3.25
149,2016-05-29,58,0.0,14.125,4.375
150,2016-05-30,61,0.0,17.875,4.125
151,2016-05-31,60,0.0,47.875,6.0
152,2016-06-01,58,0.0,30.75,4.625
153,2016-06-02,62,0.0,3.5,5.0
154,2016-06-03,65,0.0,8.375,6.0
155,2016-06-04,61,0.0,10.25,4.0
156,2016-06-05,64,0.0,6.25,4.5
157,2016-06-06,65,0.0,7.375,4.125
158,2016-06-07,65,0.0,8.75,4.875
159,2016-06-08,68,0.0,21.0,4.625
160,2016-06-09,71,0.0,12.125,4.75
161,2016-06-10,69,0.0,50.125,8.0
162,2016-06-11,73,0.0,9.125,7.25
163,2016-06-12,69,0.0,21.125,4.5
164,2016-06-13,62,0.0,14.375,5.25
165,2016-06-14,63,0.0,2.5,6.75
166,2016-06-15,64,0.0,23.0,5.625
167,2016-06-16,65,0.0,53.0,5.75
168,2016-06-17,70,0.0,5.625,5.75
169,2016-06-18,73,0.0,3.0,5.75
170,2016-06-19,79,0.0,16.625,6.125
171,2016-06-20,70,0.0,8.5,6.375
172,2016-06-21,78,0.0,9.25,4.875
173,2016-06-22,70,0.0,24.875,4.5
174,2016-06-23,71,0.0,11.25,5.375
175,2016-06-24,74,0.0,24.0,4.75
176,2016-06-25,70,0.0,9.875,5.375
177,2016-06-26,71,0.0,3.0,4.75
178,2016-06-27,73,0.0,2.0,5.125
179,2016-06-28,72,0.0,7.625,5.5
180,2016-06-29,70,0.0,11.625,4.625
181,2016-06-30,66,0.0,32.125,4.75
182,2016-07-01,66,0.0,47.75,1.875
183,2016-07-02,65,0.0,49.875,3.25
184,2016-07-03,69,0.0,11.0,5.0
185,2016-07-04,72,0.0,10.625,6.25
186,2016-07-05,72,0.0,11.25,4.625
187,2016-07-06,73,0.0,8.875,5.875
188,2016-07-07,72,0.0,7.375,5.25
189,2016-07-08,71,0.0,11.125,5.0
190,2016-07-09,77,0.0,9.125,4.875
191,2016-07-10,79,0.0,28.125,8.25
192,2016-07-11,71,0.0,5.75,4.75
193,2016-07-12,72,0.0,7.125,3.375
194,2016-07-13,71,0.0,5.125,5.25
195,2016-07-14,67,0.0,3.5,5.5
196,2016-07-15,70,0.0,9.25,7.875
197,2016-07-16,72,0.0,8.75,5.25
198,2016-07-17,72,0.0,8.125,5.125
199,2016-07-18,71,0.0,44.75,6.125
200,2016-07-19,73,0.0,47.25,5.625
201,2016-07-20,73,0.0,49.125,6.5
202,2016-07-21,71,0.0,55.875,6.0
203,2016-07-22,72,0.0,51.875,5.625
204,2016-07-23,72,0.0,65.125,6.125
205,2016-07-24,72,0.0,48.0,6.25
206,2016-07-25,70,0.0,49.125,6.375
207,2016-07-26,69,0.0,49.375,5.125
208,2016-07-27,70,0.0,47.25,6.125
209,2016-07-28,71,0.0,7.25,5.875
210,2016-07-29,68,0.0,13.375,4.25
211,2016-07-30,73,0.0,10.125,6.375
212,2016-07-31,73,0.0,25.625,5.25
213,2016-08-01,73,0.0,21.25,5.75
214,2016-08-02,73,0.0,32.125,5.875
215,2016-08-03,74,0.0,11.625,5.375
216,2016-08-04,65,0.0,34.25,6.125
217,2016-08-05,63,0.0,39.25,3.5
218,2016-08-06,66,0.0,35.75,3.25
219,2016-08-07,69,0.0,7.0,5.25
220,2016-08-08,72,0.0,6.75,4.875
221,2016-08-09,75,0.0,11.5,5.375
222,2016-08-10,73,0.0,17.25,5.125
223,2016-08-11,70,0.0,12.25,5.0
224,2016-08-12,64,0.0,4.5,4.0
225,2016-08-13,68,0.0,9.625,5.5
226,2016-08-14,69,0.0,4.75,6.25
227,2016-08-15,71,0.0,13.875,6.625
228,2016-08-16,69,0.0,12.0,5.875
229,2016-08-17,69,0.0,7.25,5.0
230,2016-08-18,68,0.0,50.25,6.0
231,2016-08-19,60,0.0,33.25,5.0
232,2016-08-20,58,0.0,26.0,5.125
233,2016-08-21,66,0.0,6.25,5.125
234,2016-08-22,71,0.0,23.0,6.375
235,2016-08-23,68,0.0,37.625,7.375
236,2016-08-24,59,0.0,58.25,4.5
237,2016-08-25,52,0.0,16.375,4.25
238,2016-08-26,59,0.0,17.625,2.875
239,2016-08-27,63,0.0,6.5,5.0
240,2016-08-28,67,0.0,21.25,5.25
241,2016-08-29,65,0.0,19.625,6.375
242,2016-08-30,60,0.0,10.75,3.75
243,2016-08-31,57,0.0,10.375,3.0
244,2016-09-01,66,0.0,6.625,5.25
245,2016-09-02,67,0.0,13.25,4.5
246,2016-09-03,69,0.0,9.875,4.375
247,2016-09-04,67,0.0,3.375,6.25
248,2016-09-05,67,0.0,3.625,4.875
249,2016-09-06,64,0.0,12.5,3.75
250,2016-09-07,67,0.0,10.5,3.0
251,2016-09-08,68,0.0,0.0,3.625
252,2016-09-09,59,0.0,4.375,6.875
253,2016-09-10,59,0.0,1.625,3.875
254,2016-09-11,67,0.0,14.25,6.25
255,2016-09-12,61,0.0,13.125,7.625
256,2016-09-13,54,0.0,27.375,6.375
257,2016-09-14,58,0.0,12.75,3.625
258,2016-09-15,57,0.0,12.375,4.25
259,2016-09-16,54,0.0,7.5,4.75
260,2016-09-17,57,0.0,4.0,4.375
261,2016-09-18,65,0.0,4.375,5.25
262,2016-09-19,69,0.0,3.0,5.625
263,2016-09-20,70,0.0,49.625,5.25
264,2016-09-21,68,0.0,26.625,5.25
265,2016-09-22,62,0.0,12.75,4.625
266,2016-09-23,62,0.0,14.625,8.25
267,2016-09-24,52,0.0,5.875,6.125
268,2016-09-25,50,0.0,9.5,4.125
269,2016-09-26,55,0.0,1.0,4.25
270,2016-09-27,58,0.0,0.25,3.375
271,2016-09-28,60,0.0,0.875,3.875
272,2016-09-29,61,0.0,7.625,4.375
273,2016-09-30,60,0.0,30.125,4.125
274,2016-10-01,60,0.0,4.875,4.375
275,2016-10-02,62,0.0,3.0,6.75
276,2016-10-03,59,0.0,12.75,9.125
277,2016-10-04,47,0.0,2.125,7.625
278,2016-10-05,49,0.0,39.0,4.5
279,2016-10-06,42,0.0,33.625,5.0
280,2016-10-07,45,0.0,3.0,4.5
281,2016-10-08,52,0.0,4.375,6.0
282,2016-10-09,55,0.0,25.375,4.5
283,2016-10-10,58,0.0,4.125,6.625
284,2016-10-11,59,0.0,18.0,5.75
285,2016-10-12,44,0.0,26.25,4.25
286,2016-10-13,54,0.0,10.375,3.625
287,2016-10-14,62,0.0,15.0,6.375
288,2016-10-15,63,0.0,5.25,5.75
289,2016-10-16,63,0.0,1.5,8.375
290,2016-10-17,57,0.0,0.5,5.875
291,2016-10-18,50,0.0,17.875,4.75
292,2016-10-19,43,0.0,17.25,4.5
293,2016-10-20,41,0.0,3.5,4.25
294,2016-10-21,52,0.0,11.25,6.125
295,2016-10-22,57,0.0,0.0,6.125
296,2016-10-23,54,0.0,7.75,3.625
297,2016-10-24,57,0.0,52.875,4.625
298,2016-10-25,58,0.0,16.125,5.875
299,2016-10-26,53,0.0,1.0,4.875
300,2016-10-27,58,0.0,15.125,5.625
301,2016-10-28,62,0.0,48.875,6.0
302,2016-10-29,59,0.0,6.25,5.375
303,2016-10-30,56,0.0,6.875,4.75
